순번,대학(원),학과(부),학년,이수구분,학수번호,교과목명,교과목명(영문),담당교수,Teaching method,수업방법,시간표,학점,강의실
1404,도시과학대학,건설환경공학부,1,기초과학,0001447001,화학(2),Chemistry (2),박수영,on and offline class,온라인(동영상+화상)+오프라인, [SY2307:금(5)(6)],2,제28호관 도시과학대학-307 강의실[SY2307]
1405,도시과학대학,건설환경공학부,1,기초과학,0001447002,화학(2),Chemistry (2),박수영,on and offline class,온라인(동영상+화상)+오프라인, [SY2307:금(7)(8)],2,제28호관 도시과학대학-307 강의실[SY2307]
1406,도시과학대학,건설환경공학부,1,기초과학,0006956001,일반물리(2),General Physics(2),김영찬,online class,온라인(동영상+화상), [SI337:화(8)(9)],2,제8호관 공과대학·도시과학대학-337 강의실(중)-2[SI337]
1407,도시과학대학,건설환경공학부,1,기초과학,0006956002,일반물리(2),General Physics(2),김영찬,online class,온라인(동영상+화상), [SI337:금(2)(3)],2,제8호관 공과대학·도시과학대학-337 강의실(중)-2[SI337]
1408,도시과학대학,건설환경공학부,1,기초과학,ED06023001,물리실험(1),PHYSICS LABORATORY(1),조한민,online class,온라인(동영상+화상), [SI229:월(2)(3)],1,제8호관 공과대학·도시과학대학-229 구조실험실[SI229]
1409,도시과학대학,건설환경공학부,1,기초과학,ED06023002,물리실험(1),PHYSICS LABORATORY(1),조한민,online class,온라인(동영상+화상), [SI229:월(6)(7)],1,제8호관 공과대학·도시과학대학-229 구조실험실[SI229]
1410,도시과학대학,건설환경공학부,1,기초과학,ED06023003,물리실험(1),PHYSICS LABORATORY(1),손홍민,online class,온라인(동영상+화상), [SI229:월(8)(9)],1,제8호관 공과대학·도시과학대학-229 구조실험실[SI229]
1411,도시과학대학,건설환경공학부,1,기초과학,ED06023004,물리실험(1),PHYSICS LABORATORY(1),손홍민,online class,온라인(동영상+화상), [SI229:수(6)(7)],1,제8호관 공과대학·도시과학대학-229 구조실험실[SI229]
1412,도시과학대학,건설환경공학부,1,기초과학,ED06023005,물리실험(1),PHYSICS LABORATORY(1),손홍민,online class,온라인(동영상+화상), [SI229:수(8)(9)],1,제8호관 공과대학·도시과학대학-229 구조실험실[SI229]
1413,도시과학대학,건설환경공학부,1,기초과학,ED06023006,물리실험(1),PHYSICS LABORATORY(1),,,,0,1,0
1414,도시과학대학,건설환경공학부,1,기초과학,XAA1273001,화학실험,CHEMISTRY EXPERIMENT,임지영,offline class,오프라인, [SY1406:금(2)(3)],1,제27호관 제2공동실험실습관-406 환경공학기초실습실[SY1406]
